City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,lubuklinggau,-3.3,102.8667,22.56,86,46,0.54,ID,1691711427
279,carnarvon,-24.8667,113.6333,19.19,76,6,1.66,AU,1691711427
280,montijo,38.7067,-8.9739,22.29,78,0,3.6,PT,1691711322
281,axim,4.8699,-2.2405,23.8,88,32,2.47,GH,1691711428
282,akankpa,5.1264,8.1898,22.72,96,100,0.57,NG,1691711428
283,peniche,39.3558,-9.3811,20.16,93,0,4.58,PT,1691711428
284,jayapura,-2.5333,140.7,27.66,82,84,2.14,ID,1691711428
285,haiku-pauwela,20.9219,-156.3051,29.01,74,40,9.77,US,1691711428
286,bengkulu,-3.8004,102.2655,23.03,92,58,1.99,ID,1691711429
287,les sables-d'olonne,46.6667,-1.8333,18.44,95,69,2.9,FR,1691711429
288,puerto maldonado,-12.6,-69.1833,26.22,83,0,0.0,PE,1691711429
289,jahanian shah,31.8055,72.2771,33.88,45,33,2.83,PK,1691711429
290,tadine,-21.55,167.8833,20.2,52,0,7.79,NC,1691711429
291,san luis de la loma,17.2706,-100.8939,29.27,77,90,2.2,MX,1691711430
292,siwa oasis,29.2041,25.5195,28.22,45,0,5.69,EG,1691711430
293,volchikha,52.0333,80.3833,16.67,94,100,3.91,RU,1691711430
294,razdol'noye,45.7708,33.4878,22.49,78,86,1.59,UA,1691711430
295,inhapim,-19.5492,-42.12,20.33,69,99,1.69,BR,1691711430
296,yangjiang,21.85,111.9667,27.36,84,95,1.52,CN,1691711430
297,rongelap,11.1635,166.8941,28.33,75,54,6.17,MH,1691711431
298,port douglas,-16.4833,145.4667,23.21,66,64,7.05,AU,1691711239
299,oppdal,62.5943,9.6912,9.04,97,100,1.54,NO,1691711431
300,zelenoborskiy,66.845,32.3622,10.92,94,5,0.52,RU,1691711431
301,greymouth,-42.4667,171.2,5.38,84,82,1.89,NZ,1691711431
302,aasiaat,68.7098,-52.8699,3.15,87,100,1.01,GL,1691711431
303,pertek,38.8663,39.3268,26.1,24,0,1.11,TR,1691711431
304,dowlatabad,32.7998,51.6955,18.82,32,0,1.03,IR,1691711432
305,igrim,63.1906,64.4162,9.15,90,8,2.36,RU,1691711432
306,extrema,-22.8547,-46.3183,19.65,62,43,2.18,BR,1691711432
307,yemetsk,63.4721,41.7941,17.09,89,3,0.83,RU,1691711432
308,northfield,44.4583,-93.1616,26.4,67,0,3.09,US,1691711433
309,smithers,54.7804,-127.1743,20.18,45,75,3.09,CA,1691711433
310,peace river,56.2501,-117.286,16.17,94,75,5.66,CA,1691711433
311,aykhal,66.0,111.5,18.16,72,100,3.03,RU,1691711433
312,colon,9.3592,-79.9014,26.62,87,100,2.24,PA,1691711433
313,susuman,62.7833,148.1667,17.37,44,7,0.74,RU,1691711433
314,queenstown,-31.8976,26.8753,10.83,50,0,2.82,ZA,1691711433
315,tsiombe,-25.3,45.4833,17.08,60,21,4.3,MG,1691711434
316,watsa,3.0372,29.5355,17.01,99,94,0.6,CD,1691711434
317,alwar,27.5667,76.6,27.39,67,18,2.79,IN,1691711434
318,diu,20.7141,70.9822,26.18,84,100,4.58,IN,1691711434
319,okny,47.5404,29.46,16.16,57,49,3.8,UA,1691711434
320,ghadamis,30.1337,9.5007,26.89,28,0,5.5,LY,1691711434
321,wladyslawowo,54.7909,18.4009,12.74,77,94,4.3,PL,1691711435
322,praia da vitoria,38.7333,-27.0667,23.2,88,75,3.81,PT,1691711435
323,truth or consequences,33.1284,-107.2528,29.39,59,40,11.83,US,1691711435
324,sorong,-0.8833,131.25,26.17,75,91,5.88,ID,1691711435
325,afaahiti,-17.75,-149.2833,26.93,67,72,8.0,PF,1691711435
326,raja,8.4596,25.678,20.73,97,84,1.83,SS,1691711435
327,ghanzi,-21.5667,21.7833,12.21,40,2,4.61,BW,1691711435
328,lompoc,34.6391,-120.4579,27.66,70,100,2.06,US,1691711436
329,porto uniao,-26.2381,-51.0783,14.74,99,58,0.78,BR,1691711436
330,iskateley,67.6803,53.1512,10.31,82,13,1.31,RU,1691711436
331,parauapebas,-6.0675,-49.9022,25.96,43,2,1.14,BR,1691711436
332,tralee,52.2704,-9.7026,13.64,97,21,2.73,IE,1691711436
333,antofagasta,-23.65,-70.4,16.6,84,57,5.91,CL,1691711281
334,esil,51.9556,66.4042,15.7,58,93,6.36,KZ,1691711436
335,uglich,57.5275,38.3317,14.68,91,45,1.12,RU,1691711437
336,mary,37.0,62.5,27.93,22,0,2.52,TM,1691711437
337,coronado,32.6859,-117.1831,29.24,73,75,5.14,US,1691711437
338,antsiranana,-12.2787,49.2917,21.54,81,1,4.65,MG,1691711437
339,brisas de zicatela,15.8369,-97.0419,31.29,58,40,3.09,MX,1691711437
340,juneau,58.3019,-134.4197,15.23,98,100,4.12,US,1691711317
341,labuan,5.2767,115.2417,27.2,83,20,1.03,MY,1691711437
342,belmonte,-15.8631,-38.8828,22.19,80,61,2.66,BR,1691711147
343,brokopondo,4.75,-55.1667,27.78,66,55,4.98,SR,1691711438
344,puerto leguizamo,-0.1934,-74.7819,25.92,79,83,1.21,CO,1691711438
345,'ain el bell,34.3438,3.2247,27.33,22,0,1.75,DZ,1691711438
346,shalqar,47.8333,59.6,22.63,43,0,3.83,KZ,1691711438
347,tsiroanomandidy,-18.7667,46.0333,16.54,69,7,0.4,MG,1691711438
